1,100,928,93
1,101,1018,93
1,102,1112,93
1,103,1112,173
1,104,1112,253
1,105,1112,333
1,106,1112,413
1,107,1112,493
1,108,1112,573
1,109,1112,653
1,110,1112,733
1,111,1112,813
1,112,1112,893
1,113,1018,908
1,114,928,908
1,115,838,908
1,116,744,898
1,117,744,818
1,118,744,738
1,119,744,658
1,120,744,578
1,121,744,498
1,122,744,418
1,123,744,338
1,124,744,258
1,125,744,178
1,126,744,98
1,127,838,96
2,100,960,93
2,101,1050,93
2,102,1144,93
2,103,1144,173
2,104,1144,253
2,105,1144,333
2,106,1144,413
2,107,1144,493
2,108,1144,573
2,109,1144,653
2,110,1144,733
2,111,1144,813
2,112,1144,893
2,113,1050,908
2,114,960,908
2,115,870,908
2,116,776,898
2,117,776,818
2,118,776,738
2,119,776,658
2,120,776,578
2,121,776,498
2,122,776,418
2,123,776,338
2,124,776,258
2,125,776,178
2,126,776,98
2,127,870,96
3,100,928,125
3,101,1018,125
3,102,1112,125
3,103,1112,205
3,104,1112,285
3,105,1112,365
3,106,1112,445
3,107,1112,525
3,108,1112,605
3,109,1112,685
3,110,1112,765
3,111,1112,845
3,112,1112,925
3,113,1018,940
3,114,928,940
3,115,838,940
3,116,744,930
3,117,744,850
3,118,744,770
3,119,744,690
3,120,744,610
3,121,744,530
3,122,744,450
3,123,744,370
3,124,744,290
3,125,744,210
3,126,744,130
3,127,838,128
4,100,960,125
4,101,1050,125
4,102,1144,125
4,103,1144,205
4,104,1144,285
4,105,1144,365
4,106,1144,445
4,107,1144,525
4,108,1144,605
4,109,1144,685
4,110,1144,765
4,111,1144,845
4,112,1144,925
4,113,1050,940
4,114,960,940
4,115,870,940
4,116,776,930
4,117,776,850
4,118,776,770
4,119,776,690
4,120,776,610
4,121,776,530
4,122,776,450
4,123,776,370
4,124,776,290
4,125,776,210
4,126,776,130
4,127,870,128
